,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE,SIZE
2272,1302,Africa,Southwest Indian Ocean,Seychelles,,-4.28333,55.71666999999999,Curieuse Island,Fringing,Curieuse Island,,,Yes,0,,3
2277,1303,Africa,Southwest Indian Ocean,Seychelles,,-4.3,55.86666999999999,Ile Cocos,,Ile Cocos,,,Yes,0,,3
2290,1244,Africa,Southwest Indian Ocean,Mauritius,,-20.366670000000003,57.333330000000004,Mascarene Archipelago,,Black River ( Riviere Noire ),,Mascarene Islands,Yes,0,,3
2303,1249,Africa,Southwest Indian Ocean,Mauritius,,-20.15833,57.475,Mascarene Archipelago,,Port Louis,,,Yes,0,,3
2311,1248,Africa,Southwest Indian Ocean,Mauritius,,-19.883329999999997,57.65833000000001,Mascarene Archipelago,Fringing,Flat Island ( Ile Plate ),,,Yes,0,,3
2314,1250,Africa,Southwest Indian Ocean,Mauritius,,-20.08333,57.7,Mascarene Archipelago,,Riviere du Rampart,,,Yes,0,,3
2316,1246,Africa,Southwest Indian Ocean,Mauritius,,-20.41333,57.713330000000006,Mascarene Archipelago,,Mahebourg,,,Yes,0,,3
2318,1247,Africa,Southwest Indian Ocean,Mauritius,,-20.41667,57.71666999999999,Mascarene Archipelago,,Aigrettes Island ( Ile aux Aigrettes ),,,Yes,0,,3
2319,1245,Africa,Southwest Indian Ocean,Mauritius,,-20.15,57.75,Mascarene Archipelago,,Flacq,,Mascarene Islands,Yes,0,,3
2325,1251,Africa,Southwest Indian Ocean,Mauritius,,-20.24833,57.795,Mascarene Archipelago,Fringing,Trou d'Eau Douce Fir,,,Yes,0,,3
2334,1268,Middle East,Persian Gulf,Oman,,23.85,58.083330000000004,Muscat,Fringing,Jazirat Daymaniyat,,,Yes,0,,3
2355,1269,Middle East,Persian Gulf,Oman,,23.616670000000003,58.5,Quru,,Quru,,,Yes,0,,3
2593,1307,Asia,South Asia,Sri Lanka,,6.11667,80.06667,Hikkaduwa,,Hikkaduwa,,,Yes,0,,3
2729,1364,Asia,Southeast Asia,Thailand,,9.4,97.88333,Surin Islands,Fringing,Surin Islands ( Mu Ko Surin ),,,Yes,1,,3
2742,1349,Asia,Southeast Asia,Thailand,,8.11667,98.28333,Phuket,,Hat Nai Yang,,,Yes,0,,3
