,lat,lon,popdens
800,45.375,-75.875,570.04
801,45.375,-75.625,1691.79
802,45.375,-73.875,276.02
803,45.375,8.375,266.19
804,45.375,8.875,511.28
805,45.375,9.125,982.03
806,45.375,9.375,734.75
807,45.375,9.625,683.35
808,45.375,10.125,442.25
809,45.375,10.875,493.08
810,45.375,11.875,1177.24
811,45.375,21.875,396.67
812,45.375,28.875,1955.86
813,45.375,124.875,790.02
814,45.375,130.625,475.52
815,45.375,130.875,475.52
816,45.125,-122.875,591.09
817,45.125,-93.375,734.75
818,45.125,-93.125,511.28
819,45.125,-89.125,307.74
820,45.125,-76.125,591.09
821,45.125,5.625,458.58
822,45.125,7.625,1573.44
823,45.125,7.875,330.89
824,45.125,9.125,286.22
825,45.125,10.875,591.09
826,45.125,25.625,319.11
827,45.125,26.875,1220.71
828,45.125,28.875,530.16
829,45.125,38.875,790.02
830,45.125,41.875,426.5
831,45.125,78.375,426.5
832,45.125,126.375,266.19
833,45.125,126.625,266.19
834,45.125,126.875,266.19
835,44.875,-93.375,1018.3
836,44.875,-92.625,276.02
837,44.875,-0.625,1955.86
838,44.875,7.375,396.67
839,44.875,10.375,591.09
840,44.875,10.875,396.67
841,44.875,11.625,319.11
842,44.875,24.875,3133.74
843,44.875,37.625,396.67
844,44.875,41.125,368.92
845,44.875,125.625,266.19
846,44.875,125.875,266.19
847,44.875,126.125,266.19
848,44.875,126.375,266.19
849,44.875,126.625,266.19
850,44.875,126.875,266.19
851,44.875,129.625,475.52
852,44.625,-63.625,1177.24
853,44.625,-1.125,442.25
854,44.625,8.625,266.19
855,44.625,10.625,530.16
856,44.625,10.875,880.81
857,44.625,33.625,458.58
858,44.625,85.125,256.71
859,44.625,125.625,266.19
860,44.625,125.875,266.19
861,44.625,129.625,635.55
862,44.625,129.875,319.11
863,44.375,-79.625,1055.9
864,44.375,8.375,493.08
865,44.375,9.125,880.81
866,44.375,9.375,458.58
867,44.375,11.625,286.22
868,44.375,15.125,659.02
869,44.375,23.875,1886.21
870,44.375,26.125,6958.56
871,44.375,27.875,286.22
872,44.375,28.625,307.74
873,44.375,86.125,683.35
874,44.375,125.375,256.71
875,44.125,-77.375,411.31
876,44.125,4.625,411.31
877,44.125,4.875,330.89
878,44.125,9.875,761.89
879,44.125,12.375,530.16
880,44.125,27.375,591.09
881,44.125,43.125,683.35
882,44.125,125.125,591.09
883,44.125,125.375,947.06
884,44.125,126.375,1573.44
885,44.125,126.625,1573.44
